,SensorName,Timestamp,x,y,z,payload
0,Accelerometer,1635536639250,-0.026350263506174088,-0.18385298550128937,9.833439826965332,
0,Accelerometer,1635536639275,-0.04072313383221626,-0.13654227554798126,9.777145385742188,
0,Accelerometer,1635536639301,0.011977393180131912,-0.15989819169044495,9.767563819885254,
0,Accelerometer,1635536639329,-0.002395478542894125,-0.15989819169044495,9.800501823425293,
0,Accelerometer,1635536639352,-0.026350263506174088,-0.1886439323425293,9.856795310974121,
0,Accelerometer,1635536639378,-0.04072313383221626,-0.14612418413162231,9.786727905273438,
0,Accelerometer,1635536639403,-0.05090392008423805,-0.15989819169044495,9.786727905273438,
0,Accelerometer,1635536639427,0.011977393180131912,-0.17906202375888824,9.814874649047852,
0,Accelerometer,1635536639450,-0.011977393180131912,-0.17906202375888824,9.81966495513916,
0,Accelerometer,1635536639474,-0.016768349334597588,-0.12216940522193909,9.852004051208496,
0,Accelerometer,1635536639497,0.002395478542894125,-0.14133323729038239,9.814874649047852,
0,Accelerometer,1635536639523,0.021559307351708412,-0.15091514587402344,9.791518211364746,
0,Accelerometer,1635536639547,-0.002395478542894125,-0.13654227554798126,9.744207382202148,
0,Accelerometer,1635536639572,-0.026350263506174088,-0.169480100274086,9.753789901733398,
0,Accelerometer,1635536639597,-0.011977393180131912,-0.13654227554798126,9.81966495513916,
0,Accelerometer,1635536639622,-0.05090392008423805,-0.14612418413162231,9.823857307434082,
0,Accelerometer,1635536639647,-0.002395478542894125,-0.15091514587402344,9.795710563659668,
0,Accelerometer,1635536639669,-0.03593217954039574,-0.16468915343284607,9.805292129516602,
0,Accelerometer,1635536639694,-0.007186435628682375,-0.19343489408493042,9.805292129516602,
0,Accelerometer,1635536639719,-0.011977393180131912,-0.1886439323425293,9.810083389282227,
0,Accelerometer,1635536639744,-0.011977393180131912,-0.17427106201648712,9.748998641967773,
0,Accelerometer,1635536639770,-0.03593217954039574,-0.09821461886167526,9.786727905273438,
0,Accelerometer,1635536639795,-0.016768349334597588,-0.15510722994804382,9.767563819885254,
0,Accelerometer,1635536639820,-0.021559307351708412,-0.16468915343284607,9.866376876831055,
0,Accelerometer,1635536639844,-0.016768349334597588,-0.13654227554798126,9.791518211364746,
0,Accelerometer,1635536639870,-0.031141221523284912,-0.15989819169044495,9.843021392822266,
0,Accelerometer,1635536639893,-0.04072313383221626,-0.17906202375888824,9.805292129516602,
0,Accelerometer,1635536639916,-0.002395478542894125,-0.15989819169044495,9.791518211364746,
0,Accelerometer,1635536639941,-0.002395478542894125,-0.15091514587402344,9.810083389282227,
0,Accelerometer,1635536639966,0.0095819141715765,-0.22218063473701477,9.808286666870117,
0,Accelerometer,1635536639992,-0.03892652690410614,-0.1503162831068039,9.817869186401367,
0,Accelerometer,1635536640017,0,-0.13594341278076172,9.771157264709473,
0,Accelerometer,1635536640040,-0.06288131326436996,-0.12636148929595947,9.836433410644531,
0,Accelerometer,1635536640064,-0.03892652690410614,-0.1311524510383606,9.822659492492676,
0,Accelerometer,1635536640086,-0.05809035524725914,-0.169480100274086,9.822659492492676,
0,Accelerometer,1635536640111,-0.034135568886995316,-0.12636148929595947,9.817869186401367,
0,Accelerometer,1635536640136,-0.01437287125736475,-0.14073435962200165,9.841224670410156,
0,Accelerometer,1635536640161,-0.00479095708578825,-0.13594341278076172,9.743010520935059,
0,Accelerometer,1635536640185,-0.023954786360263824,-0.1119886189699173,9.822659492492676,
0,Accelerometer,1635536640212,-0.04850843921303749,-0.13594341278076172,9.822659492492676,
0,Accelerometer,1635536640236,-0.0287457425147295,-0.15989819169044495,9.803496360778809,
0,Accelerometer,1635536640261,-0.0287457425147295,-0.15510722994804382,9.766366004943848,
0,Accelerometer,1635536640283,-0.034135568886995316,-0.1503162831068039,9.8274507522583,
0,Accelerometer,1635536640306,-0.01437287125736475,-0.169480100274086,9.808286666870117,
0,Accelerometer,1635536640332,-0.04850843921303749,-0.15989819169044495,9.8274507522583,
0,Accelerometer,1635536640356,-0.023954786360263824,-0.16468915343284607,9.831643104553223,
0,Accelerometer,1635536640378,-0.06288131326436996,-0.11677958071231842,9.822659492492676,
0,Accelerometer,1635536640403,-0.0287457425147295,-0.1503162831068039,9.822659492492676,
0,Accelerometer,1635536640427,-0.0095819141715765,-0.15989819169044495,9.831643104553223,
0,Accelerometer,1635536640450,-0.053299397230148315,-0.10719766467809677,9.784931182861328,
0,Accelerometer,1635536640472,-0.034135568886995316,-0.15510722994804382,9.789721488952637,
0,Accelerometer,1635536640497,-0.0287457425147295,-0.12636148929595947,9.813077926635742,
0,Accelerometer,1635536640523,-0.023954786360263824,-0.1119886189699173,9.780139923095703,
0,Accelerometer,1635536640547,-0.043717484921216965,-0.15989819169044495,9.803496360778809,
0,Accelerometer,1635536640572,-0.04850843921303749,-0.13594341278076172,9.822659492492676,
0,Accelerometer,1635536640596,0,-0.16468915343284607,9.775348663330078,
0,Accelerometer,1635536640619,-0.034135568886995316,-0.169480100274086,9.799304008483887,
0,Accelerometer,1635536640645,-0.034135568886995316,-0.169480100274086,9.808286666870117,
0,Accelerometer,1635536640667,-0.023954786360263824,-0.16468915343284607,9.813077926635742,
0,Accelerometer,1635536640692,-0.019163828343153,-0.10719766467809677,9.784931182861328,
0,Accelerometer,1635536640716,-0.023954786360263824,-0.14073435962200165,9.8274507522583,
0,Accelerometer,1635536640739,-0.01437287125736475,-0.14552532136440277,9.761574745178223,
0,Accelerometer,1635536640767,-0.04850843921303749,-0.16468915343284607,9.864581108093262,
